drive_pA,n_reset_steps,seed,label,interleave,iw_correct,iw_n,iw_acc,wa_correct,wa_n,wa_acc
200.0,100,1,d200_r100_s1,True,25,100,0.25,25,100,0.25
200.0,300,1,d200_r300_s1,True,23,100,0.23,25,100,0.25
300.0,100,1,d300_r100_s1,True,22,100,0.22,23,100,0.23
300.0,300,1,d300_r300_s1,True,25,100,0.25,26,100,0.26
400.0,100,1,d400_r100_s1,True,26,100,0.26,24,100,0.24
400.0,300,1,d400_r300_s1,True,25,100,0.25,29,100,0.29
500.0,100,1,d500_r100_s1,True,25,100,0.25,32,100,0.32
500.0,300,1,d500_r300_s1,True,28,100,0.28,24,100,0.24
