label,seed,phase0_finalQ,phase0_actions,phase1_finalQ,phase1_actions,phase1_steps_at_goal,elapsed_s
eps_01,42,1.6933333333333334,"[96, 155, 42, 7]",8.184,"[374, 856, 228, 42]",0,882.4
eps_01,43,1.68,"[85, 118, 33, 64]",5.421333333333333,"[418, 583, 184, 315]",4,1034.9
eps_01,44,1.6533333333333333,"[154, 100, 38, 8]",6.762666666666667,"[783, 505, 163, 49]",0,1161.8
eps_02,42,1.6533333333333333,"[90, 153, 41, 16]",6.997333333333334,"[385, 823, 218, 74]",0,1211.2
eps_02,43,3.08,"[86, 105, 48, 61]",5.498666666666667,"[383, 562, 199, 356]",11,906.2
eps_02,44,1.8533333333333333,"[137, 118, 33, 12]",6.621333333333333,"[723, 498, 191, 88]",0,898.6
