label,seed,phase0_finalQ,phase0_actions,phase1_finalQ,phase1_actions,phase1_steps_at_goal,elapsed_s
prop_rate0,42,3.76,"[84, 91, 77, 48]",8.669333333333332,"[349, 481, 432, 238]",0,871.1
prop_rate0,43,7.6,"[66, 86, 76, 72]",6.192,"[352, 420, 359, 369]",21,789.2
prop_rate0,44,3.1733333333333333,"[89, 78, 80, 53]",5.466666666666667,"[421, 436, 343, 300]",18,790.0
prop_rate15,42,3.7333333333333334,"[79, 101, 72, 48]",9.269333333333334,"[358, 479, 425, 238]",0,877.4
prop_rate15,43,5.333333333333333,"[68, 83, 75, 74]",5.1786666666666665,"[376, 401, 352, 371]",14,904.8
prop_rate15,44,3.8,"[83, 91, 69, 57]",6.944,"[414, 421, 363, 302]",8,884.2
