action_selection,rate_hz,seed,phase0_finalQ,phase0_actions,phase1_finalQ,phase1_actions,phase1_steps_at_goal,elapsed_s
first_spike,15.0,42,2.066666666666667,"[84, 110, 83, 23]",8.978666666666667,"[383, 546, 425, 146]",0,894.9
first_spike,15.0,43,6.08,"[69, 80, 63, 88]",3.208,"[353, 396, 330, 421]",36,895.3
first_spike,15.0,44,1.4,"[87, 106, 61, 46]",6.034666666666666,"[505, 449, 332, 214]",0,875.9
argmax,30.0,42,1.7466666666666666,"[90, 157, 52, 1]",7.096,"[448, 810, 242, 0]",0,847.7
argmax,30.0,43,1.6533333333333333,"[80, 135, 30, 55]",6.234666666666667,"[414, 572, 197, 317]",0,901.2
argmax,30.0,44,1.8666666666666667,"[135, 123, 37, 5]",6.8053333333333335,"[706, 614, 161, 19]",0,833.1
