label,seed,phase0_finalQ,phase0_actions,phase1_finalQ,phase1_actions,phase1_steps_at_goal,elapsed_s
reset_alpha_05,42,1.6,"[82, 174, 44, 0]",7.1786666666666665,"[381, 921, 198, 0]",0,852.8
reset_alpha_05,43,1.6,"[74, 126, 34, 66]",5.76,"[428, 622, 152, 298]",1,860.2
reset_alpha_05,44,1.7733333333333334,"[153, 115, 24, 8]",6.792,"[778, 540, 163, 19]",0,831.1
reset_alpha_10,42,1.7066666666666668,"[85, 173, 42, 0]",7.013333333333334,"[407, 859, 234, 0]",0,852.8
reset_alpha_10,43,1.68,"[75, 138, 22, 65]",6.08,"[420, 617, 170, 293]",1,943.1
reset_alpha_10,44,1.7733333333333334,"[153, 115, 24, 8]",6.781333333333333,"[813, 533, 133, 21]",0,835.2
