label,seed,phase0_finalQ,phase0_actions,phase1_finalQ,phase1_actions,phase1_steps_at_goal,elapsed_s
posrew_rate0,42,1.84,"[60, 211, 29, 0]",6.970666666666666,"[334, 1001, 165, 0]",0,777.3
posrew_rate0,43,1.7733333333333334,"[70, 146, 28, 56]",6.445333333333333,"[425, 681, 118, 276]",0,743.8
posrew_rate0,44,1.8533333333333333,"[196, 84, 17, 3]",6.866666666666666,"[901, 472, 117, 10]",0,722.0
posrew_rate15,42,1.88,"[76, 187, 37, 0]",7.717333333333333,"[406, 883, 210, 1]",0,836.1
posrew_rate15,43,1.7066666666666668,"[80, 117, 36, 67]",5.68,"[414, 619, 152, 315]",2,874.7
posrew_rate15,44,1.8266666666666667,"[173, 95, 28, 4]",6.856,"[779, 543, 161, 17]",0,820.6
