rate_hz,seed,phase0_mean_dist,phase0_finalQ_dist,phase0_actions,phase1_mean_dist,phase1_finalQ_dist,phase1_actions,phase1_steps_at_goal,elapsed_s
0.0,42,2.7933333333333334,2.026666666666667,"[53, 211, 36, 0]",6.968,7.250666666666667,"[350, 998, 152, 0]",0,956.4
0.0,43,2.02,1.6933333333333334,"[72, 158, 19, 51]",6.096,6.04,"[356, 707, 123, 314]",0,765.9
0.0,44,2.0833333333333335,1.9866666666666666,"[197, 89, 11, 3]",6.8806666666666665,6.92,"[942, 447, 98, 13]",0,733.3
15.0,42,2.0233333333333334,1.96,"[85, 171, 44, 0]",7.201333333333333,6.9013333333333335,"[370, 916, 213, 1]",0,846.1
15.0,43,2.57,1.68,"[64, 134, 37, 65]",5.382,5.469333333333333,"[388, 581, 181, 350]",13,908.6
15.0,44,2.17,1.6933333333333334,"[153, 110, 32, 5]",6.826,6.8373333333333335,"[807, 530, 142, 21]",0,835.6
