label,seed,phase0_finalQ,phase0_actions,phase1_finalQ,phase1_actions,phase1_steps_at_goal,elapsed_s
attr_only,42,1.84,"[86, 179, 35, 0]",7.472,"[409, 890, 200, 1]",0,851.5
attr_only,43,2.6533333333333333,"[72, 132, 32, 64]",5.4,"[392, 586, 178, 344]",6,869.3
attr_only,44,1.88,"[159, 102, 31, 8]",6.834666666666666,"[788, 549, 143, 20]",0,834.0
attr_posonly,42,1.8533333333333333,"[79, 181, 40, 0]",7.605333333333333,"[440, 835, 225, 0]",0,838.5
attr_posonly,43,2.5866666666666664,"[75, 119, 29, 77]",5.416,"[389, 664, 161, 286]",4,882.1
attr_posonly,44,1.8,"[156, 106, 35, 3]",6.8373333333333335,"[801, 537, 139, 23]",0,826.2
